,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
49,68.8472470045,1.23286998272,0.262815225878,15.9315000568,3,280,"{'n_estimators': 280, 'base_estimator__max_depth': 3}",63,0.25991514326,16.0294212923,0.265715308497,15.8335788213,0.211687922478,0.00140702724457,0.00290008261824,0.0979212355142
50,71.511254549,1.2707824707,0.263116534989,15.9497399652,3,290,"{'n_estimators': 290, 'base_estimator__max_depth': 3}",15,0.26014898853,16.0518753039,0.266084081449,15.8476046266,0.391937494278,0.00110554695129,0.00296754645978,0.102135338681
51,73.559530139,1.30781745911,0.263147799533,15.9634429515,3,300,"{'n_estimators': 300, 'base_estimator__max_depth': 3}",10,0.260457032792,16.0956714284,0.265838566275,15.8312144747,0.0148750543594,0.00143146514893,0.00269076674146,0.132228476856
52,76.0802456141,1.34892892838,0.262854141808,15.9787226269,3,310,"{'n_estimators': 310, 'base_estimator__max_depth': 3}",54,0.26001679289,16.1142612527,0.265691490726,15.8431840011,0.0668655633926,0.00580191612244,0.00283734891794,0.13553862579
53,78.8012290001,1.39299654961,0.262995502589,16.078421245,3,320,"{'n_estimators': 320, 'base_estimator__max_depth': 3}",31,0.260366151127,16.2217335805,0.265624854052,15.9351089095,0.255397081375,0.00700449943542,0.00262935146239,0.143312335517
54,80.8904154301,1.43337905407,0.262940248568,16.1479277429,3,330,"{'n_estimators': 330, 'base_estimator__max_depth': 3}",42,0.260196265221,16.3279017736,0.265684231916,15.9679537123,0.0253045558929,0.00673305988312,0.00274398334755,0.179974030671
55,83.7536454201,1.47299301624,0.262920081598,16.1980416809,3,340,"{'n_estimators': 340, 'base_estimator__max_depth': 3}",45,0.260097370246,16.3746342893,0.26574279295,16.0214490725,0.365768432617,0.00688707828522,0.00282271135217,0.176592608429
56,85.8446209431,1.51239192486,0.262749130968,16.2120192782,3,350,"{'n_estimators': 350, 'base_estimator__max_depth': 3}",70,0.25981667684,16.3774435368,0.265681585097,16.0465950196,0.0185339450836,0.00770103931427,0.00293245412883,0.165424258632
57,88.6646764278,1.54981946945,0.262877627104,16.2686787043,3,360,"{'n_estimators': 360, 'base_estimator__max_depth': 3}",49,0.259967420885,16.4825227824,0.265787833324,16.0548346262,0.463518381119,0.00996041297913,0.00291020621907,0.213844078104
58,90.949421525,1.59270608425,0.262630727591,16.3142721264,3,370,"{'n_estimators': 370, 'base_estimator__max_depth': 3}",88,0.259649869404,16.4666392522,0.265611585778,16.1619050006,0.233895421028,0.00756108760834,0.00298085818685,0.15236712582
59,93.2083050013,1.62982714176,0.262740236397,16.323015003,3,380,"{'n_estimators': 380, 'base_estimator__max_depth': 3}",73,0.259893729579,16.4676095501,0.265586743216,16.1784204559,0.00204503536224,0.00795495510101,0.00284650681865,0.144594547097
60,95.742805481,1.66577458382,0.262710549489,16.3483747552,3,390,"{'n_estimators': 390, 'base_estimator__max_depth': 3}",79,0.259801853167,16.5494583486,0.265619245811,16.1472911618,0.0340704917908,0.0139625072479,0.00290869632184,0.201083593399
61,98.3261889219,1.70321202278,0.262832075798,16.3638770707,3,400,"{'n_estimators': 400, 'base_estimator__max_depth': 3}",60,0.259764890615,16.5513367372,0.265899260982,16.1764174043,0.192782044411,0.009929895401,0.00306718518343,0.18745966646
62,31.9578568935,0.619067072868,0.262598838409,15.5747138216,4,100,"{'n_estimators': 100, 'base_estimator__max_depth': 4}",89,0.259729939393,15.7225050471,0.265467737424,15.426922596,0.0373389720917,0.0062609910965,0.0028688990154,0.147791225589
63,35.210480094,0.669734954834,0.262525182023,15.69808556,4,110,"{'n_estimators': 110, 'base_estimator__max_depth': 4}",92,0.259605210212,15.7461077807,0.265445153835,15.6500633392,0.0356351137161,0.00281691551208,0.00291997181108,0.0480222207814
64,38.3845469952,0.716277599335,0.262495828317,15.7792683489,4,120,"{'n_estimators': 120, 'base_estimator__max_depth': 4}",93,0.259591294042,15.8339826526,0.265400362591,15.7245540453,0.00583100318909,0.00649261474609,0.00290453427482,0.0547143036359
65,42.0969034433,0.769001960754,0.26259648901,15.9453777222,4,130,"{'n_estimators': 130, 'base_estimator__max_depth': 4}",90,0.259649823546,16.1159673509,0.265543154474,15.7747880934,0.3421844244,0.00639700889587,0.00294666546402,0.17058962873
66,45.2185475826,0.817101955414,0.262903409052,16.0096901951,4,140,"{'n_estimators': 140, 'base_estimator__max_depth': 4}",46,0.259882216163,16.1761718664,0.265924601942,15.8432085237,0.404640436172,0.00862097740173,0.00302119288958,0.166481671345
67,48.0174994469,0.864542961121,0.262955326952,16.1406333124,4,150,"{'n_estimators': 150, 'base_estimator__max_depth': 4}",36,0.259992621391,16.1832827918,0.265918032514,16.097983833,0.0146484375,0.00709700584412,0.00296270556157,0.0426494793857
68,51.5290455818,0.914164423943,0.263039019577,16.2147716648,4,160,"{'n_estimators': 160, 'base_estimator__max_depth': 4}",23,0.260080652382,16.301662901,0.265997386772,16.1278804286,0.274320602417,0.00848042964935,0.00295836719475,0.08689123621
69,54.7226530313,0.961871981621,0.263407829174,16.3048644591,4,170,"{'n_estimators': 170, 'base_estimator__max_depth': 4}",2,0.259974485107,16.4194218871,0.266841173241,16.1903070311,0.261700987816,0.0104910135269,0.00343334406667,0.114557428021
70,58.0439724922,1.07563602924,0.263292659443,16.3890338366,4,180,"{'n_estimators': 180, 'base_estimator__max_depth': 4}",4,0.259972252067,16.6137175469,0.266613066818,16.1643501263,0.314875602722,0.0767999887466,0.00332040737584,0.224683710322
