EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
2077670,76.7861709595,0.664843022823,3.13742923737,2.87899780273,288031.0625,0.421218186617,216851.28125,130.097213745,83.9538269043,42301.1835938,133.259231567
894175,175.0,2.56114578247,3.10454750061,1.97851288319,245891.90625,0.268665999174,254300.796875,256.547485352,31.951467514,207291.421875,41.2842979431
821717,109.522712708,1.18647575378,3.12488508224,2.54691004753,222548.203125,0.149766623974,171891.515625,130.133728027,65.7888031006,52225.515625,64.3491821289
4854429,62.290435791,0.848032951355,3.06388306618,1.09636545181,149446.078125,0.163510546088,153121.03125,119.508331299,30.1388034821,96175.1171875,152.809295654
283496,175.0,2.66032099724,3.13640236855,1.02642261982,158049.859375,0.951672554016,169454.203125,231.964447021,73.4559020996,30681.8984375,129.167175293
469315,132.73197937,1.37450349331,3.11654686928,2.27744889259,204221.890625,0.490418791771,182327.453125,173.851852417,57.311378479,31586.4101562,94.3455352783
508658,175.0,2.91588807106,3.12030982971,0.74905538559,201197.9375,0.887873589993,161053.359375,215.118255615,75.3978118896,20338.4082031,24.4878540039
6196489,57.2486953735,0.524550318718,3.13853001595,2.68138766289,268824.46875,1.3192486763,208063.796875,159.650100708,59.116065979,60870.296875,146.866256714
2825269,175.0,1.50038325787,3.1405954361,1.89560365677,277768.625,0.742953956127,375701.3125,350.0,39.0249519348,38246.4609375,47.1080284119
467962,127.205039978,1.61024987698,3.13316750526,2.3561501503,220638.859375,0.44756141305,150549.671875,122.555374146,42.7976531982,81475.328125,92.2222900391
3626658,175.0,2.96526265144,3.13368630409,0.83494925499,127474.132812,0.665335178375,171004.140625,186.238189697,23.2658100128,73094.265625,86.0775375366
23502934,89.3010253906,1.24979043007,3.13010501862,2.00156712532,159135.421875,0.035836353898,155716.265625,127.486946106,28.209072113,175189.875,106.568649292
15883,175.0,1.74569606781,3.11938214302,2.67119526863,247601.765625,0.935706317425,232838.09375,184.858688354,57.6244354248,3899.5480957,157.105056763
747937,175.0,1.00488066673,2.92469239235,2.65678334236,324071.75,0.484638243914,169694.484375,226.583175659,108.188346863,19202.2402344,141.780349731
516554,132.980361938,1.19719254971,3.11430215836,2.44260954857,253670.546875,0.583020091057,217567.796875,161.330413818,65.8633880615,67151.3671875,88.0991287231
1405021,93.126701355,1.2284116745,3.13597583771,2.25009965897,196015.140625,1.33278346062,214723.953125,175.65675354,27.8944721222,145103.890625,22.2157173157
9433255,90.3496932983,0.693630456924,3.12222599983,2.70862317085,344814.8125,0.531060278416,220919.40625,124.295516968,122.783378601,14500.0117188,131.184036255
1190623,68.8334503174,0.850518226624,3.13452744484,2.53573560715,194607.671875,0.912649154663,162125.5,119.904121399,45.224105835,72149.421875,86.6044540405
2022836,175.0,3.30006599426,3.0336933136,0.413512945175,104465.835938,0.218334048986,188361.734375,209.612884521,35.8904075623,60336.7421875,123.935516357
525088,59.6661148071,0.55166643858,3.12476086617,2.65638017654,223787.625,0.824935555458,232493.71875,194.156677246,35.6550254822,52010.9453125,192.720718384
